"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2001,283,190,79,12,2,0,0,159,84,43,0,0,216,67,0
"Alabama","Clay",2001,279,158,106,14,1,0,0,164,87,46,0,0,207,72,0
"Alabama","Colbert",2001,100,54,46,0,0,0,0,89,75,47,0,0,0,100,0
"Alabama","DeKalb",2001,365,209,125,28,3,0,0,164,97,46,0,0,300,65,0
"Alabama","Elmore",2001,241,165,63,12,1,0,0,154,80,43,0,0,241,0,0
"Alabama","Escambia",2001,115,63,52,0,0,0,0,83,67,46,0,0,0,110,5
"Alabama","Etowah",2001,110,48,62,0,0,0,0,99,84,53,0,0,0,94,16
"Alabama","Houston",2001,114,55,59,0,0,0,0,91,76,52,0,0,0,108,6
"Alabama","Jefferson",2001,365,39,225,71,22,8,0,265,144,77,68,0,49,245,3
"Alabama","Lawrence",2001,274,188,79,7,0,0,0,119,75,44,0,0,201,73,0
"Alabama","Madison",2001,364,229,119,16,0,0,0,136,87,44,0,0,279,71,14
"Alabama","Marengo",2001,60,60,0,0,0,0,0,49,36,19,0,0,0,0,60
"Alabama","Mobile",2001,287,185,86,15,1,0,0,159,84,45,0,0,190,82,15
"Alabama","Montgomery",2001,285,164,111,10,0,0,0,150,80,45,0,0,188,93,4
"Alabama","Morgan",2001,271,159,95,16,1,0,0,169,93,46,0,0,203,61,7
"Alabama","Pike",2001,60,59,1,0,0,0,0,53,31,19,0,0,0,0,60
"Alabama","Russell",2001,110,43,66,1,0,0,0,125,85,57,0,0,0,105,5
"Alabama","Shelby",2001,285,157,98,23,7,0,0,197,101,47,0,6,194,83,2
"Alabama","Sumter",2001,274,190,78,5,1,0,0,164,73,43,0,0,187,87,0
"Alabama","Talladega",2001,115,50,65,0,0,0,0,97,75,54,0,0,0,107,8
"Alabama","Tuscaloosa",2001,242,176,56,9,1,0,0,192,77,41,0,0,226,15,1
"Alaska","Aleutians East ",2001,10,10,0,0,0,0,0,39,39,10,0,0,0,10,0
"Alaska","Anchorage ",2001,305,254,49,2,0,0,0,113,58,28,144,0,0,71,90
"Alaska","Denali ",2001,362,355,7,0,0,0,0,71,45,34,0,0,361,1,0
"Alaska","Fairbanks North Star ",2001,243,175,62,6,0,0,0,133,77,31,120,0,0,123,0
"Alaska","Juneau ",2001,130,117,13,0,0,0,0,96,51,17,0,0,0,125,5
"Alaska","Kenai Peninsula ",2001,5,5,0,0,0,0,0,33,33,3,0,0,0,5,0
"Alaska","Ketchikan Gateway ",2001,30,28,2,0,0,0,0,74,45,16,0,0,0,30,0
"Alaska","Matanuska-Susitna ",2001,125,105,20,0,0,0,0,93,66,18,0,0,0,111,14
"Arizona","Apache",2001,95,95,0,0,0,0,0,32,23,14,0,0,0,95,0
"Arizona","Cochise",2001,343,262,81,0,0,0,0,93,64,44,0,0,328,8,7
"Arizona","Coconino",2001,359,241,115,3,0,0,0,105,71,46,0,0,343,16,0
"Arizona","Gila",2001,121,98,23,0,0,0,0,94,60,30,0,0,0,101,20
"Arizona","Graham",2001,59,58,1,0,0,0,0,57,31,19,0,0,0,0,59
"Arizona","Maricopa",2001,365,30,251,71,13,0,0,185,122,80,0,82,200,55,28
"Arizona","Mohave",2001,73,71,2,0,0,0,0,73,44,24,0,0,0,7,66
"Arizona","Navajo",2001,107,106,1,0,0,0,0,52,24,13,0,0,0,89,18
"Arizona","Pima",2001,365,225,136,4,0,0,0,115,77,47,0,60,237,29,39
"Arizona","Pinal",2001,223,111,89,23,0,0,0,147,101,51,0,0,153,70,0
"Arizona","Santa Cruz",2001,63,39,22,2,0,0,0,130,67,42,0,0,0,41,22
"Arizona","Yavapai",2001,316,166,136,14,0,0,0,122,90,50,0,0,294,17,5
"Arizona","Yuma",2001,191,154,34,3,0,0,0,140,70,40,0,0,176,0,15
"Arkansas","Arkansas",2001,103,50,53,0,0,0,0,93,68,51,0,0,0,103,0
"Arkansas","Ashley",2001,114,52,62,0,0,0,0,98,72,53,0,0,0,114,0
"Arkansas","Clark",2001,362,294,60,8,0,0,0,133,71,40,0,0,362,0,0
"Arkansas","Craighead",2001,80,40,40,0,0,0,0,99,71,52,0,0,0,80,0
"Arkansas","Crittenden",2001,365,225,104,27,9,0,0,192,100,44,0,0,305,60,0
"Arkansas","Faulkner",2001,90,43,47,0,0,0,0,96,72,51,0,0,0,90,0
"Arkansas","Garland",2001,119,53,66,0,0,0,0,91,71,54,0,0,0,119,0
"Arkansas","Jefferson",2001,87,32,55,0,0,0,0,95,75,54,0,0,0,87,0
"Arkansas","Marion",2001,82,62,20,0,0,0,0,73,60,31,0,0,0,82,0
"Arkansas","Miller",2001,86,35,51,0,0,0,0,90,72,54,0,0,0,86,0
"Arkansas","Mississippi",2001,89,46,43,0,0,0,0,96,72,48,0,0,0,89,0
"Arkansas","Montgomery",2001,358,331,27,0,0,0,0,80,49,33,0,0,358,0,0
"Arkansas","Newton",2001,357,271,78,8,0,0,0,136,77,43,0,0,326,31,0
"Arkansas","Phillips",2001,115,58,56,1,0,0,0,107,71,50,0,0,0,115,0
"Arkansas","Polk",2001,121,68,53,0,0,0,0,84,69,47,0,0,0,121,0
"Arkansas","Pope",2001,107,54,53,0,0,0,0,86,69,50,0,0,0,107,0
"Arkansas","Pulaski",2001,365,117,215,29,4,0,0,156,100,58,0,6,127,232,0
"Arkansas","Sebastian",2001,106,50,56,0,0,0,0,89,73,52,0,0,0,106,0
"Arkansas","Union",2001,92,47,44,1,0,0,0,102,76,50,0,0,0,92,0
"Arkansas","Washington",2001,99,60,39,0,0,0,0,83,64,47,0,0,0,99,0
"Arkansas","White",2001,81,41,40,0,0,0,0,90,70,50,0,0,0,81,0
"California","Alameda",2001,365,290,57,12,6,0,0,178,68,40,1,127,178,59,0
"California","Amador",2001,365,250,89,25,1,0,0,154,93,40,5,0,360,0,0
"California","Butte",2001,365,152,162,43,8,0,0,159,111,56,0,4,257,103,1
"California","Calaveras",2001,365,229,91,41,4,0,0,161,105,44,2,0,348,15,0
"California","Colusa",2001,363,234,106,21,2,0,0,156,87,42,0,0,295,37,31
"California","Contra Costa",2001,365,261,78,20,6,0,0,192,84,43,0,43,220,101,1
"California","Del Norte",2001,125,125,0,0,0,0,0,50,33,14,0,0,0,89,36
"California","El Dorado",2001,365,160,119,53,30,3,0,204,147,58,0,15,340,10,0
"California","Fresno",2001,365,23,117,113,91,21,0,238,190,119,2,9,245,109,0
"California","Glenn",2001,364,259,89,16,0,0,0,147,80,43,0,0,327,0,37
"California","Humboldt",2001,323,303,20,0,0,0,0,94,45,6,0,0,0,48,275
"California","Imperial",2001,365,103,191,52,15,3,1,543,126,65,45,45,219,24,32
"California","Inyo",2001,365,155,138,32,6,2,32,20646,184,58,0,0,281,1,83
"California","Kern",2001,365,35,126,101,90,13,0,210,177,108,0,22,225,111,7
"California","Kings",2001,361,157,128,52,23,1,0,202,133,56,0,48,253,41,19
"California","Lake",2001,365,344,21,0,0,0,0,84,47,37,0,0,362,3,0
"California","Lassen",2001,40,35,5,0,0,0,0,76,55,29,0,0,0,0,40
"California","Los Angeles",2001,365,21,158,127,48,11,0,230,161,101,2,73,146,143,1
"California","Madera",2001,359,213,95,42,9,0,0,169,119,46,0,47,312,0,0
"California","Marin",2001,365,350,15,0,0,0,0,84,42,30,2,176,148,38,1
"California","Mariposa",2001,346,188,91,60,7,0,0,182,122,48,0,0,335,6,5
"California","Mendocino",2001,365,354,10,1,0,0,0,108,43,31,1,53,285,17,9
"California","Merced",2001,357,156,112,62,27,0,0,200,143,61,0,11,312,29,5
"California","Modoc",2001,62,54,8,0,0,0,0,99,53,22,0,0,0,35,27
"California","Mono",2001,359,251,88,16,2,1,1,4378,93,36,82,0,174,40,63
"California","Monterey",2001,365,343,20,2,0,0,0,129,47,34,0,16,313,24,12
"California","Napa",2001,365,350,14,1,0,0,0,126,44,31,3,114,240,0,8
"California","Nevada",2001,365,165,130,50,19,1,0,201,129,54,0,0,339,23,3
"California","Orange",2001,365,112,192,50,11,0,0,179,115,64,0,60,113,192,0
"California","Placer",2001,365,216,88,37,23,1,0,202,133,46,0,84,264,17,0
"California","Plumas",2001,365,281,73,10,1,0,0,152,70,35,0,0,170,100,95
"California","Riverside",2001,365,38,126,99,77,24,1,500,187,110,0,35,174,149,7
"California","Sacramento",2001,365,141,143,56,23,2,0,203,143,59,3,29,232,94,7
"California","San Benito",2001,364,272,72,18,2,0,0,156,84,42,0,0,361,3,0
"California","San Bernardino",2001,365,35,154,91,56,29,0,241,195,100,0,100,206,56,3
"California","San Diego",2001,365,47,227,76,14,1,0,212,129,77,2,30,158,173,2
"California","San Francisco",2001,365,291,61,10,3,0,0,162,63,36,3,120,122,118,2
"California","San Joaquin",2001,365,246,95,19,5,0,0,166,87,44,2,81,196,62,24
"California","San Luis Obispo",2001,365,259,94,11,1,0,0,152,84,44,0,25,314,16,10
"California","San Mateo",2001,365,324,36,4,1,0,0,159,52,32,3,158,146,58,0
"California","Santa Barbara",2001,365,219,108,36,1,1,0,201,101,48,0,9,343,11,2
"California","Santa Clara",2001,365,221,117,15,12,0,0,177,90,46,0,70,156,139,0
"California","Santa Cruz",2001,365,335,28,2,0,0,0,108,49,35,0,5,328,26,6
"California","Shasta",2001,362,270,74,18,0,0,0,134,84,44,0,0,345,17,0
"California","Siskiyou",2001,288,287,1,0,0,0,0,69,26,13,0,0,195,52,41
"California","Solano",2001,365,304,50,8,3,0,0,169,64,37,10,62,243,49,1
"California","Sonoma",2001,365,322,37,5,1,0,0,162,54,36,0,56,267,41,1
"California","Stanislaus",2001,365,190,128,31,16,0,0,187,112,50,2,80,222,51,10
"California","Sutter",2001,365,240,96,26,3,0,0,169,97,44,5,69,266,20,5
"California","Tehama",2001,279,168,84,27,0,0,0,150,100,44,0,0,260,0,19
"California","Trinity",2001,118,110,8,0,0,0,0,62,40,13,0,0,0,84,34
"California","Tulare",2001,365,99,94,93,77,2,0,206,166,95,0,22,280,58,5
"California","Tuolumne",2001,365,208,108,46,3,0,0,179,112,45,15,0,350,0,0
"California","Ventura",2001,365,147,134,61,21,2,0,208,137,61,0,37,282,46,0
"California","Yolo",2001,365,274,75,14,2,0,0,169,77,40,0,54,270,36,5
"Canada","New Brunswick",2001,191,173,16,2,0,0,0,115,50,35,0,0,191,0,0
"Canada","Saskatchewan",2001,68,63,5,0,0,0,0,72,46,24,0,0,0,68,0
"Colorado","Adams",2001,365,170,191,3,1,0,0,152,72,51,1,199,48,70,47
"Colorado","Alamosa",2001,328,318,10,0,0,0,0,77,39,19,0,0,0,29,299
"Colorado","Arapahoe",2001,345,246,88,11,0,0,0,140,80,41,0,0,296,49,0
"Colorado","Archuleta",2001,354,331,23,0,0,0,0,85,45,22,0,0,0,37,317
"Colorado","Boulder",2001,365,276,84,5,0,0,0,119,67,41,28,0,259,58,20
"Colorado","Delta",2001,61,55,6,0,0,0,0,67,49,29,0,0,0,41,20
"Colorado","Denver",2001,365,121,225,17,2,0,0,158,85,56,1,199,62,86,17
