"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Etowah",1988,58,48,10,0,0,0,0,63,56,33,0,0,0,0,58
"Alabama","Jefferson",1988,366,183,124,34,19,6,0,223,129,51,108,0,199,0,59
"Alabama","Madison",1988,366,243,67,34,20,2,0,205,122,40,100,0,237,0,29
"Alabama","Mobile",1988,270,186,68,14,2,0,0,159,87,43,0,0,245,0,25
"Alabama","Montgomery",1988,268,157,60,39,12,0,0,187,129,46,0,0,248,0,20
"Alabama","Shelby",1988,272,147,62,39,19,5,0,209,143,47,0,0,245,0,27
"Alaska","Anchorage ",1988,365,221,132,12,0,0,0,148,83,44,170,0,0,0,195
"Alaska","Denali ",1988,337,336,1,0,0,0,0,51,39,31,0,0,334,3,0
"Alaska","Fairbanks North Star ",1988,270,181,73,11,5,0,0,200,83,36,163,0,0,0,107
"Alaska","Juneau ",1988,354,334,19,1,0,0,0,104,42,13,0,0,0,0,354
"Alaska","Kenai Peninsula ",1988,37,37,0,0,0,0,0,7,6,2,0,0,0,0,37
"Alaska","Sitka ",1988,39,39,0,0,0,0,0,25,20,13,0,0,0,0,39
"Arizona","Apache",1988,361,319,42,0,0,0,0,84,51,40,0,2,359,0,0
"Arizona","Cochise",1988,131,91,36,2,2,0,0,174,77,29,0,0,0,65,66
"Arizona","Coconino",1988,187,185,2,0,0,0,0,51,28,16,77,0,0,70,40
"Arizona","Gila",1988,106,90,14,2,0,0,0,118,61,28,0,0,0,53,53
"Arizona","Graham",1988,53,41,12,0,0,0,0,75,59,36,0,0,0,0,53
"Arizona","Maricopa",1988,366,88,197,73,8,0,0,174,122,72,135,0,222,0,9
"Arizona","Navajo",1988,119,116,3,0,0,0,0,76,33,18,0,0,0,74,45
"Arizona","Pima",1988,366,158,186,20,2,0,0,176,84,52,85,56,163,0,62
"Arizona","Santa Cruz",1988,45,19,25,1,0,0,0,101,89,54,0,0,0,0,45
"Arizona","Yuma",1988,191,111,69,10,1,0,0,151,93,48,0,0,182,0,9
"Arkansas","Arkansas",1988,48,46,2,0,0,0,0,62,46,25,0,0,0,0,48
"Arkansas","Boone",1988,59,59,0,0,0,0,0,46,37,25,0,0,0,0,59
"Arkansas","Pulaski",1988,366,250,77,32,7,0,0,190,101,42,0,55,300,0,11
"California","Alameda",1988,366,225,106,27,8,0,0,177,100,47,14,197,154,0,1
"California","Butte",1988,366,235,103,25,3,0,0,166,91,44,67,88,197,0,14
"California","Colusa",1988,55,45,10,0,0,0,0,72,57,25,0,0,0,0,55
"California","Contra Costa",1988,366,241,104,16,5,0,0,174,89,47,22,155,181,0,8
"California","Del Norte",1988,344,338,6,0,0,0,0,67,38,28,0,0,322,19,3
"California","El Dorado",1988,366,124,214,27,1,0,0,151,97,59,160,8,192,0,6
"California","Fresno",1988,366,68,118,69,78,33,0,221,195,100,25,84,248,0,9
"California","Glenn",1988,59,48,11,0,0,0,0,70,59,30,0,0,0,0,59
"California","Humboldt",1988,64,52,12,0,0,0,0,72,59,27,0,0,0,0,64
"California","Imperial",1988,323,209,87,23,3,1,0,220,93,44,0,0,277,0,46
"California","Inyo",1988,79,58,19,0,1,1,0,257,69,34,0,0,0,0,79
"California","Kern",1988,366,64,118,63,73,48,0,223,203,101,4,88,257,0,17
"California","Kings",1988,359,176,81,80,21,1,0,202,140,51,0,0,335,0,24
"California","Lake",1988,363,356,7,0,0,0,0,71,38,26,0,0,359,0,4
"California","Los Angeles",1988,366,9,65,84,63,145,0,298,255,168,59,91,216,0,0
"California","Madera",1988,159,81,45,25,7,1,0,201,136,49,0,0,109,0,50
"California","Marin",1988,365,334,30,1,0,0,0,119,47,28,0,117,213,23,12
"California","Mariposa",1988,346,196,79,54,17,0,0,177,133,46,0,0,344,2,0
"California","Mendocino",1988,135,118,14,3,0,0,0,119,51,31,6,7,78,0,44
"California","Merced",1988,57,32,25,0,0,0,0,80,68,42,0,0,0,0,57
"California","Mono",1988,366,226,103,33,4,0,0,182,101,46,36,0,315,0,15
"California","Monterey",1988,305,290,13,2,0,0,0,122,44,30,0,0,291,0,14
"California","Napa",1988,366,304,56,5,1,0,0,156,57,37,41,127,185,0,13
"California","Orange",1988,366,68,157,97,25,19,0,295,156,89,15,193,157,0,1
"California","Placer",1988,344,169,76,62,28,9,0,214,154,51,0,0,333,0,11
"California","Plumas",1988,45,33,12,0,0,0,0,100,89,30,0,0,0,0,45
"California","Riverside",1988,366,72,84,58,52,100,0,293,232,119,19,93,249,0,5
"California","Sacramento",1988,366,128,126,57,36,19,0,226,164,68,86,73,206,0,1
"California","San Benito",1988,365,233,87,40,5,0,0,177,108,44,0,0,360,3,2
"California","San Bernardino",1988,366,25,116,49,34,142,0,298,263,126,3,115,243,1,4
"California","San Diego",1988,366,34,108,112,71,41,0,254,202,114,4,117,245,0,0
"California","San Francisco",1988,366,283,78,4,1,0,0,156,70,38,90,219,55,0,2
"California","San Joaquin",1988,366,196,118,32,20,0,0,195,126,48,29,155,168,0,14
"California","San Luis Obispo",1988,366,253,95,17,1,0,0,151,87,46,1,54,308,0,3
"California","San Mateo",1988,366,299,57,10,0,0,0,119,68,38,11,241,110,0,4
"California","Santa Barbara",1988,366,67,195,79,25,0,0,192,140,75,33,57,275,0,1
"California","Santa Clara",1988,366,213,111,25,17,0,0,190,108,46,97,0,251,0,18
"California","Santa Cruz",1988,359,341,18,0,0,0,0,100,46,33,0,28,315,0,16
"California","Shasta",1988,353,269,59,22,3,0,0,200,93,38,0,57,285,1,10
"California","Siskiyou",1988,306,272,33,1,0,0,0,101,51,35,17,0,263,0,26
"California","Solano",1988,366,252,89,22,3,0,0,169,79,43,48,75,241,0,2
"California","Sonoma",1988,364,321,35,7,1,0,0,177,51,37,14,114,219,0,17
"California","Stanislaus",1988,366,153,116,54,40,3,0,222,161,58,21,120,207,0,18
"California","Sutter",1988,272,160,64,36,12,0,0,192,122,44,0,0,246,0,26
"California","Tehama",1988,58,40,18,0,0,0,0,73,62,35,0,0,0,0,58
"California","Trinity",1988,39,37,2,0,0,0,0,81,35,16,0,0,0,0,39
"California","Tulare",1988,366,93,118,67,82,6,0,213,177,87,7,77,266,0,16
"California","Tuolumne",1988,251,163,59,27,2,0,0,151,101,41,0,0,251,0,0
"California","Ventura",1988,366,88,102,69,65,42,0,239,203,93,2,63,298,0,3
"California","Yolo",1988,366,271,66,22,7,0,0,161,90,39,33,0,319,0,14
"California","Yuba",1988,14,7,7,0,0,0,0,71,65,51,0,0,0,0,14
"Colorado","Adams",1988,366,198,146,21,1,0,0,151,87,49,30,220,109,0,7
"Colorado","Alamosa",1988,257,247,10,0,0,0,0,84,48,40,0,0,246,11,0
"Colorado","Arapahoe",1988,366,156,151,42,17,0,0,200,115,57,9,138,217,0,2
"Colorado","Archuleta",1988,16,11,5,0,0,0,0,98,95,50,0,0,0,0,16
"Colorado","Boulder",1988,366,199,127,38,2,0,0,172,104,48,86,0,252,0,28
"Colorado","Delta",1988,5,4,1,0,0,0,0,54,54,11,0,0,0,0,5
"Colorado","Denver",1988,366,72,233,49,10,2,0,222,112,64,82,180,98,0,6
"Colorado","Eagle",1988,173,173,0,0,0,0,0,49,33,18,67,0,0,0,106
"Colorado","El Paso",1988,366,202,152,11,1,0,0,158,71,50,40,161,146,0,19
"Colorado","Fremont",1988,335,323,11,1,0,0,0,109,37,18,0,0,0,0,335
"Colorado","Garfield",1988,273,251,22,0,0,0,0,79,45,27,0,0,0,0,273
"Colorado","Gunnison",1988,145,128,17,0,0,0,0,84,55,22,0,0,0,0,145
"Colorado","Jefferson",1988,366,240,108,15,3,0,0,159,84,44,103,0,257,0,6
"Colorado","Larimer",1988,366,203,139,21,3,0,0,195,90,49,74,0,290,0,2
"Colorado","Mesa",1988,251,219,32,0,0,0,0,90,52,41,0,0,185,0,66
"Colorado","Montezuma",1988,76,76,0,0,0,0,0,33,18,12,0,0,0,76,0
"Colorado","Pitkin",1988,231,213,16,2,0,0,0,110,48,25,0,0,0,0,231
"Colorado","Prowers",1988,121,115,6,0,0,0,0,74,37,22,0,0,0,0,121
"Colorado","Pueblo",1988,62,55,7,0,0,0,0,59,51,28,0,0,0,0,62
"Colorado","Routt",1988,173,141,32,0,0,0,0,86,58,22,0,0,0,0,173
"Colorado","San Juan",1988,75,75,0,0,0,0,0,46,21,12,0,0,0,75,0
"Colorado","San Miguel",1988,41,37,4,0,0,0,0,66,46,31,0,0,0,0,41
"Colorado","Weld",1988,366,250,107,9,0,0,0,143,74,44,106,0,246,0,14
"Connecticut","Fairfield",1988,366,211,90,21,16,28,0,259,169,48,70,143,149,0,4
"Connecticut","Hartford",1988,366,206,128,11,12,9,0,243,91,48,224,51,88,0,3
"Connecticut","Litchfield",1988,29,29,0,0,0,0,0,40,39,16,0,0,0,0,29
"Connecticut","Middlesex",1988,216,149,26,12,17,12,0,286,174,40,0,0,204,0,12
"Connecticut","New Haven",1988,366,203,120,19,16,8,0,241,122,49,36,169,102,0,59
"Connecticut","New London",1988,223,143,42,19,10,9,0,226,140,46,0,0,213,0,10
"Connecticut","Tolland",1988,212,143,27,16,16,10,0,274,166,42,0,0,212,0,0
"Connecticut","Windham",1988,28,28,0,0,0,0,0,40,32,19,0,0,0,0,28
"Delaware","Kent",1988,201,107,38,24,18,14,0,244,182,48,0,0,201,0,0
"Delaware","New Castle",1988,358,206,85,27,16,24,0,266,161,47,22,213,116,0,7
"Delaware","Sussex",1988,175,106,35,15,11,8,0,218,151,44,0,0,175,0,0
"District Of Columbia","District of Columbia",1988,339,217,78,22,14,8,0,249,112,44,0,217,107,15,0
"Florida","Brevard",1988,59,57,2,0,0,0,0,67,45,34,0,0,59,0,0
"Florida","Broward",1988,366,306,46,11,2,1,0,208,71,37,82,0,279,0,5
"Florida","Duval",1988,366,232,101,30,3,0,0,166,97,45,73,69,217,0,7
"Florida","Escambia",1988,366,259,65,35,7,0,0,177,108,42,0,0,366,0,0
"Florida","Hillsborough",1988,366,248,88,27,3,0,0,161,97,44,35,96,227,0,8
"Florida","Lee",1988,41,41,0,0,0,0,0,47,41,33,0,0,41,0,0
"Florida","Leon",1988,363,285,60,18,0,0,0,147,87,37,0,0,363,0,0
"Florida","Miami-Dade",1988,366,219,129,11,7,0,0,190,80,45,149,56,158,0,3
"Florida","Orange",1988,366,287,66,12,1,0,0,151,77,39,78,0,284,0,4
"Florida","Palm Beach",1988,366,322,40,4,0,0,0,122,55,32,6,120,240,0,0
"Florida","Pinellas",1988,366,249,85,26,6,0,0,164,97,44,58,29,279,0,0
"Florida","Sarasota",1988,361,312,37,11,1,0,0,151,61,31,0,0,361,0,0
"Florida","Seminole",1988,365,290,61,13,1,0,0,151,74,38,0,0,365,0,0
"Georgia","Chatham",1988,55,46,9,0,0,0,0,65,55,37,0,0,0,0,55
"Georgia","Dawson",1988,222,100,72,36,12,2,0,205,129,58,0,0,222,0,0
"Georgia","DeKalb",1988,366,228,83,30,14,11,0,247,126,44,11,162,185,0,8
"Georgia","Douglas",1988,273,157,56,34,20,6,0,229,147,46,0,0,273,0,0
"Georgia","Fulton",1988,366,190,120,33,11,12,0,233,129,49,23,210,122,0,11
"Georgia","Muscogee",1988,273,192,56,23,2,0,0,169,97,42,0,0,273,0,0
"Georgia","Paulding",1988,268,142,67,36,15,8,0,217,147,48,0,0,268,0,0
"Georgia","Rockdale",1988,253,145,54,30,20,4,0,251,143,46,0,0,253,0,0
"Georgia","Sumter",1988,271,165,59,41,6,0,0,190,119,45,0,0,271,0,0
"Hawaii","Hawaii",1988,278,272,6,0,0,0,0,60,40,20,0,0,241,37,0
"Hawaii","Honolulu",1988,366,366,0,0,0,0,0,48,30,19,323,0,3,0,40
"Hawaii","Kauai",1988,47,47,0,0,0,0,0,28,20,16,0,0,0,0,47
"Hawaii","Maui",1988,33,33,0,0,0,0,0,44,35,23,0,0,0,0,33
"Idaho","Ada",1988,358,277,80,1,0,0,0,106,61,34,329,0,0,0,29
"Idaho","Bannock",1988,108,66,39,3,0,0,0,109,73,41,0,0,0,0,108
"Idaho","Bonner",1988,93,70,20,3,0,0,0,133,66,33,0,0,0,0,93
"Idaho","Caribou",1988,119,87,30,2,0,0,0,120,63,24,0,0,0,0,119
"Idaho","Clearwater",1988,17,14,3,0,0,0,0,63,63,32,0,0,0,0,17
"Idaho","Kootenai",1988,81,60,20,0,1,0,0,155,61,30,0,0,0,0,81
"Idaho","Latah",1988,15,14,1,0,0,0,0,53,50,21,0,0,0,0,15
"Idaho","Nez Perce",1988,49,39,10,0,0,0,0,89,58,28,0,0,0,0,49
"Idaho","Shoshone",1988,102,57,43,2,0,0,0,115,72,44,0,0,0,0,102
"Idaho","Twin Falls",1988,47,45,2,0,0,0,0,62,45,19,0,0,0,0,47
"Illinois","Adams",1988,353,281,56,14,2,0,0,161,84,32,0,0,353,0,0
"Illinois","Champaign",1988,343,265,43,26,9,0,0,169,101,32,0,0,343,0,0
"Illinois","Coles",1988,54,53,1,0,0,0,0,55,33,18,0,0,0,0,54
"Illinois","Cook",1988,366,137,145,46,21,17,0,285,151,57,12,233,95,0,26
"Illinois","DuPage",1988,366,272,77,14,3,0,0,169,77,39,5,242,113,0,6
